Season,Competition,Matchday,Date,Venue,For,Opponent,Result,Position,Minute,At_score,Type_of_goal,Goal_assist
,Season 2017,,,,,,,,,,,
,,Liga Profesional (- 23/24),10,20/11/16,A,,(5.),,Huracán(25.),1:1,CF,38'
,,Liga Profesional (- 23/24),15,12/03/17,H,,(10.),,Lanús(6.),3:0,CF,2'
,,Liga Profesional (- 23/24),18,01/04/17,A,,(8.),,Quilmes(23.),2:3,CF,60'
,,Liga Profesional (- 23/24),20,16/04/17,A,,(6.),,Sarmiento Junin(24.),1:2,CF,56'
,69'0:2Left-footed shotMarcos Acuña,69',0:2,Left-footed shot,Marcos Acuña,,,,,,,
,,Liga Profesional (- 23/24),19,20/04/17,H,,(6.),,Tigre(18.),4:1,CF,62'
,,Liga Profesional (- 23/24),23,06/05/17,H,,(7.),,Gimnasia(11.),1:0,CF,35'
,,Liga Profesional (- 23/24),27,06/06/17,H,,(8.),,Aldosivi(26.),1:1,CF,32'
,,Liga Profesional (- 23/24),28,18/06/17,A,,(8.),,River Plate(2.),2:3,CF,16'
,Season 2018,,,,,,,,,,,
,,Liga Profesional (- 23/24),7,28/10/17,A,,(18.),,Atl. Tucumán(19.),3:1,CF,45'+3
,,Liga Profesional (- 23/24),9,19/11/17,A,,(20.),,Boca Juniors(1.),1:2,CF,37'
,,Liga Profesional (- 23/24),11,03/12/17,A,,(18.),,Newell's(17.),2:2,CF,20'
,,Liga Profesional (- 23/24),12,10/12/17,H,,(18.),,Gimnasia(19.),3:1,CF,90'+2
,,Liga Profesional (- 23/24),14,05/02/18,H,,(18.),,Huracán(5.),4:0,CF,11'
,45'3:0Left-footed shot,45',3:0,Left-footed shot,,,,,,,,
,77'4:0Right-footed shotRicardo Centurión,77',4:0,Right-footed shot,Ricardo Centurión,,,,,,,
,,Libertadores,Gruppenphase,28/02/18,H,,,Cruzeiro,4:2,CF,14',1:0
,45'2:1Right-footed shotNery Domínguez,45',2:1,Right-footed shot,Nery Domínguez,,,,,,,
,63'3:1HeaderRicardo Centurión,63',3:1,Header,Ricardo Centurión,,,,,,,
